Output Noise 10*log10(Vn2/Hz) X,Output Noise 10*log10(Vn2/Hz) Y
100,-200.7901330139815
112.2018454301963,-201.3385748734202
125.8925411794167,-201.8868518601708
141.2537544622754,-202.4349428892097
158.4893192461113,-202.9828240873943
177.8279410038922,-203.5304684269595
199.5262314968879,-204.0778453121383
223.8721138568338,-204.6249201132939
251.1886431509579,-205.1716536423996
281.8382931264452,-205.7180015631212
316.2277660168377,-206.2639137281666
354.8133892335752,-206.8093334359912
398.1071705534969,-207.3541965983929
446.6835921509627,-207.8984308100451
501.1872336272718,-208.4419543106341
562.3413251903485,-208.9846748300387
630.9573444801925,-209.5264883070222
707.945784384137,-210.0672774722061
794.3282347242805,-210.6069102869154
891.2509381337443,-211.1452382308004
999.9999999999985,-211.6820944333018
1122.018454301962,-212.2172916470654
1258.925411794165,-212.750620065724
1412.537544622752,-213.2818449942251
1584.89319246111,-213.8107043874451
1778.279410038919,-214.3369062824834
1995.262314968875,-214.8601261621431
2238.721138568335,-215.3800043018754
2511.886431509575,-215.896143170153
2818.382931264448,-216.4081049728636
3162.277660168372,-216.9154094556309
3548.133892335746,-217.4175321034508
3981.071705534962,-217.9139029036377
4466.83592150962,-218.4039058640888
5011.87233627271,-218.8868795019626
5623.413251903476,-219.3621185347418
6309.573444801915,-219.8288770123617
7079.457843841358,-220.2863731209211
7943.282347242791,-220.7337958604975
8912.509381337428,-221.1703137471515
9999.999999999969,-221.5950856088241
11220.1845430196,-222.0072734352759
12589.25411794163,-222.4060571057056
14125.3754462275,-222.7906506607895
15848.93192461108,-223.1603196202273
17782.79410038916,-223.5143986887689
19952.62314968872,-223.8523090628914
22387.21138568331,-224.1735744674619
25118.86431509571,-224.4778350350637
28183.82931264443,-224.7648582021168
31622.77660168367,-225.0345459379027
35481.33892335741,-225.28693783614
39810.71705534957,-225.5222098637994
44668.35921509613,-225.7406688499172
50118.72336272703,-225.9427430758664
56234.13251903468,-226.1289695671088
63095.73444801906,-226.299978860741
70794.57843841349,-226.4564781193109
79432.8234724278,-226.5992334770342
89125.09381337416,-226.7290524479288
99999.99999999955,-226.8467671124267
112201.8454301958,-226.9532186498258
125892.5411794161,-227.0492436189664
141253.7544622748,-227.1356622268286
158489.3192461106,-227.2132686778912
177827.9410038914,-227.2828235749913
199526.2314968869,-227.3450482487683
223872.1138568328,-227.400620827765
251188.6431509567,-227.4501738222462
281838.2931264439,-227.494292977205
316227.7660168362,-227.5335171493146
354813.3892335735,-227.5683389732276
398107.1705534951,-227.5992061009061
446683.5921509606,-227.6265228192111
501187.2336272695,-227.6506518734753
562341.3251903459,-227.6719163457286
630957.3444801896,-227.6906014545895
707945.7843841338,-227.7069561582024
794328.2347242768,-227.7211944522988
891250.9381337402,-227.7334962617745
999999.9999999939,-227.7440078271419
1122018.454301957,-227.7528414875471
1258925.411794159,-227.7600747613962
1412537.544622745,-227.7657486270283
1584893.192461103,-227.7698649136262
1778279.410038911,-227.7723827335033
1995262.314968867,-227.7732139317588
2238721.138568325,-227.7722176132588
2511886.431509564,-227.7691939512277
2818382.931264435,-227.763877715238
3162277.660168358,-227.7559323125719
3548133.89233573,-227.7449456502928
3981071.705534945,-227.7304298171264
4466835.921509599,-227.7118274358057
5011872.336272687,-227.6885284459017
5623413.25190345,-227.6599017977117
6309573.444801887,-227.6253466162049
7079457.843841327,-227.5843661582306
7943282.347242757,-227.5366645605688
8912509.381337389,-227.4822604446389
9999999.999999925,-227.4216032694874
11220184.54301955,-227.3556698502768
12589254.11794158,-227.2860133833353
14125375.44622744,-227.2147400271379
15848931.92461101,-227.1444010924749
17782794.10038909,-227.0778099743545
19952623.14968864,-227.0178144666748
22387211.38568322,-226.9670672219385
25118864.3150956,-226.927833755185
28183829.31264431,-226.901860404971
31622776.60168353,-226.8903029365246
35481338.92335725,-226.8937004763218
39810717.05534939,-226.9119755433676
44668359.21509593,-226.9444487986023
50118723.36272679,-226.989870984811
56234132.51903442,-227.0464861371254
63095734.44801877,-227.1121422991296
70794578.43841316,-227.1844557275719
79432823.47242743,-227.2610152547351
89125093.81337373,-227.3395939361205
99999999.99999906,-227.4183252938191
112201845.4301953,-227.4958066566218
125892541.1794155,-227.5711098788739
141253754.4622741,-227.643702069543
158489319.2461098,-227.7132975767145
177827941.0038905,-227.7796729996207
199526231.496886,-227.8424795816036
223872113.8568317,-227.9010843082354
251188643.1509555,-227.9544644305013
281838293.1264426,-228.0011708706511
316227766.0168347,-228.0393646866208
354813389.2335718,-228.0669189798822
398107170.5534931,-228.0815687612035
446683592.1509585,-228.0810853332582
501187233.6272671,-228.063449722363
562341325.1903431,-228.0269997088878
630957344.4801866,-227.9705255073782
707945784.3841304,-227.8932914066346
794328234.724273,-227.7949687630286
891250938.1337359,-227.675483054727
1000000000,-227.5348026363868
